DATE,EXCHUS
01/01/1981,1.5518
01/02/1981,1.6131
01/03/1981,1.6314
01/04/1981,1.666
01/05/1981,1.727
01/06/1981,1.7605
01/07/1981,1.7647
01/08/1981,1.8003
01/09/1981,1.7542
01/10/1981,1.7576
01/11/1981,1.7409
01/12/1981,1.7405
01/01/1982,1.7713
01/02/1982,1.82
01/03/1982,1.8429
01/04/1982,1.8565
01/05/1982,1.8123
01/06/1982,1.9014
01/07/1982,1.93
01/08/1982,1.9432
01/09/1982,1.9567
01/10/1982,1.9887
01/11/1982,2.0002
01/12/1982,1.9445
01/01/1983,1.9238
01/02/1983,1.9653
01/03/1983,1.9834
01/04/1983,1.9938
01/05/1983,1.9895
01/06/1983,1.9949
01/07/1983,1.9966
01/08/1983,1.9843
01/09/1983,1.9867
01/10/1983,1.9664
01/11/1983,1.994
01/12/1983,1.992
01/01/1984,2.049
01/02/1984,2.0628
01/03/1984,2.0646
01/04/1984,2.0929
01/05/1984,2.1866
01/06/1984,2.2178
01/07/1984,2.2996
01/08/1984,2.3718
01/09/1984,2.5469
01/10/1984,2.6488
01/11/1984,2.6785
01/12/1984,2.7953
01/01/1985,2.816
01/02/1985,2.8347
01/03/1985,2.8533
01/04/1985,2.848
01/05/1985,2.8556
01/06/1985,2.8693
01/07/1985,2.8809
01/08/1985,2.9093
01/09/1985,2.9722
01/10/1985,3.0782
01/11/1985,3.2086
01/12/1985,3.2095
01/01/1986,3.2095
01/02/1986,3.2152
01/03/1986,3.2202
01/04/1986,3.2143
01/05/1986,3.2014
01/06/1986,3.2115
01/07/1986,3.6435
01/08/1986,3.7129
01/09/1986,3.715
01/10/1986,3.7257
01/11/1986,3.7314
01/12/1986,3.7314
01/01/1987,3.7314
01/02/1987,3.7314
01/03/1987,3.7314
01/04/1987,3.7314
01/05/1987,3.7314
01/06/1987,3.7314
01/07/1987,3.7314
01/08/1987,3.7314
01/09/1987,3.7314
01/10/1987,3.7314
01/11/1987,3.7314
01/12/1987,3.7314
01/01/1988,3.7314
01/02/1988,3.7314
01/03/1988,3.7314
01/04/1988,3.7314
01/05/1988,3.7314
01/06/1988,3.7314
01/07/1988,3.7314
01/08/1988,3.7314
01/09/1988,3.7314
01/10/1988,3.7314
01/11/1988,3.7314
01/12/1988,3.7314
01/01/1989,3.7314
01/02/1989,3.7314
01/03/1989,3.7314
01/04/1989,3.7314
01/05/1989,3.7314
01/06/1989,3.7314
01/07/1989,3.7314
01/08/1989,3.7314
01/09/1989,3.7314
01/10/1989,3.7314
01/11/1989,3.7314
01/12/1989,4.1825
01/01/1990,4.7339
01/02/1990,4.7339
01/03/1990,4.7339
01/04/1990,4.7339
01/05/1990,4.7339
01/06/1990,4.7339
01/07/1990,4.7339
01/08/1990,4.7339
