Date,"Iron ore, cfr spot ($/dmtu)","Crude oil, Brent ($/bbl)","Coal, Australian ($/mt)",EXCHUS,Output of Crude Iron Ore Current Period(10000 tons),Output of Crude Steel Current Period(10000 tons),Output of Electricity Current Period(100 million kwh),Total Value of Imports and Exports Growth Rate (The same period last year=100)(%),Total Value of Exports Current Period(1000 US dollars),Total Value of Imports Current Period(1000 US dollars),Gross Domestic Product Current Quarter(100 million yuan),Gross Output Value of Construction Accumulated (100 million yuan),"Industry (including construction), value added (% of GDP)","Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)","Foreign direct investment, net inflows (% of GDP)",GNI growth (annual %),Trade (% of GDP)
2007-12-01,190.12,91.45,91.00,7.3682,6815.3,4131.4,2946.9,23.4,114415986.0,91728981.0,,,,,,,,
2008-01-01,193.37,91.92,91.75,7.2405,6815.3,4131.4,2946.9,27.1,109640030.0,90174447.0,69373.6,8347.03,46.97117236,7.795346037,5.92525137,3.733610711,10.08603993,57.61234224
2008-02-01,186.12,94.82,132.00,7.1644,5322.7,3888.4,2337.8,18.4,87367796.0,78813133.0,69373.6,8347.03,46.97117236,7.795346037,5.92525137,3.733610711,10.08603993,57.61234224
2008-03-01,197.12,103.28,118.25,7.0722,6609.2,4486.8,2897.8,27.8,108962891.0,95556142.0,69373.6,8347.03,46.97117236,7.795346037,5.92525137,3.733610711,10.08603993,57.61234224
2008-04-01,195.95,110.19,123.00,6.9997,6818.6,4467.6,2814.3,23.9,118771084.0,102102683.0,78711.8,22664.53,46.97117236,7.795346037,5.92525137,3.733610711,10.08603993,57.61234224
2008-05-01,192.95,123.94,133.20,6.9725,7549.3,4601.3,2933.8,33.2,120496491.0,100286062.0,78711.8,22664.53,46.97117236,7.795346037,5.92525137,3.733610711,10.08603993,57.61234224
2008-06-01,183.93,133.05,159.75,6.8993,8156.4,4694.4,2934.5,23.3,121179554.0,100179936.0,78711.8,22664.53,46.97117236,7.795346037,5.92525137,3.733610711,10.08603993,57.61234224
2008-07-01,180.50,133.87,180.00,6.8355,6373.6,4488.6,3195.4,29.8,136675046.0,111397147.0,82460.1,37552.37,46.97117236,7.795346037,5.92525137,3.733610711,10.08603993,57.61234224
2008-08-01,178.74,113.85,158.40,6.8462,6241.0,4256.8,3160.6,22.0,134872675.0,106178493.0,82460.1,37552.37,46.97117236,7.795346037,5.92525137,3.733610711,10.08603993,57.61234224
2008-09-01,139.64,99.06,150.00,6.8307,6482.8,3961.4,2892.5,21.4,136432088.0,107065274.0,82460.1,37552.37,46.97117236,7.795346037,5.92525137,3.733610711,10.08603993,57.61234224
2008-10-01,88.67,72.84,108.00,6.8358,6785.0,3590.1,2645.0,17.6,128327028.0,93087686.0,88699.0,61144.26,46.97117236,7.795346037,5.92525137,3.733610711,10.08603993,57.61234224
2008-11-01,64.95,53.24,92.25,6.8281,7238.5,3518.9,2540.2,-9.0,114987285.0,74897470.0,88699.0,61144.26,46.97117236,7.795346037,5.92525137,3.733610711,10.08603993,57.61234224
2008-12-01,69.98,41.58,78.65,6.8539,6105.9,3779.2,2739.6,-11.1,111157222.0,72177186.0,88699.0,61144.26,46.97117236,7.795346037,5.92525137,3.733610711,10.08603993,57.61234224
2009-01-01,72.51,44.86,79.40,6.836,6105.9,3779.2,2739.6,-29.0,90453600.0,51344264.0,73979.2,10116.62,45.95714729,-0.209533361,-0.728165251,2.568894307,8.532755388,45.18497621
2009-02-01,75.59,43.24,75.38,6.8363,5819.0,4042.2,2449.4,-24.9,64894649.0,60053658.0,73979.2,10116.62,45.95714729,-0.209533361,-0.728165251,2.568894307,8.532755388,45.18497621
2009-03-01,64.07,46.84,61.00,6.836,6172.2,4510.1,2833.6,-20.9,90290547.0,71729112.0,73979.2,10116.62,45.95714729,-0.209533361,-0.728165251,2.568894307,8.532755388,45.18497621
2009-04-01,59.78,50.85,63.56,6.8306,6078.8,4341.3,2712.9,-22.8,91934722.0,78799687.0,83865.8,27502.2,45.95714729,-0.209533361,-0.728165251,2.568894307,8.532755388,45.18497621
2009-05-01,62.69,57.94,64.50,6.8235,6555.6,4646.0,2838.9,-25.9,88757886.0,75369356.0,83865.8,27502.2,45.95714729,-0.209533361,-0.728165251,2.568894307,8.532755388,45.18497621
2009-06-01,71.66,68.62,71.38,6.8334,8326.9,4942.5,3100.1,-17.7,95411208.0,87159545.0,83865.8,27502.2,45.95714729,-0.209533361,-0.728165251,2.568894307,8.532755388,45.18497621
2009-07-01,83.95,64.91,73.80,6.8317,7686.8,5067.6,3345.0,-19.4,105420240.0,94790583.0,89846.9,46518.27,45.95714729,-0.209533361,-0.728165251,2.568894307,8.532755388,45.18497621
2009-08-01,97.67,72.50,72.50,6.8323,7668.3,5232.7,3443.2,-20.6,103707009.0,87995234.0,89846.9,46518.27,45.95714729,-0.209533361,-0.728165251,2.568894307,8.532755388,45.18497621
2009-09-01,80.71,67.69,67.64,6.8277,8542.7,5071.1,3203.3,-10.1,115937994.0,103005871.0,89846.9,46518.27,45.95714729,-0.209533361,-0.728165251,2.568894307,8.532755388,45.18497621
2009-10-01,86.79,73.19,71.07,6.8267,8387.6,5174.7,3121.0,-10.7,110762383.0,86774749.0,100825.8,75863.78,45.95714729,-0.209533361,-0.728165251,2.568894307,8.532755388,45.18497621
2009-11-01,99.26,77.04,78.80,6.8271,8678.1,4726.2,3234.1,9.8,113653429.0,94560431.0,100825.8,75863.78,45.95714729,-0.209533361,-0.728165251,2.568894307,8.532755388,45.18497621
2009-12-01,105.07,74.67,83.10,6.8275,8824.8,4766.4,3497.8,32.7,130723881.0,112293713.0,100825.8,75863.78,45.95714729,-0.209533361,-0.728165251,2.568894307,8.532755388,45.18497621
2010-01-01,125.72,76.37,97.00,6.8269,8824.8,4766.4,3497.8,44.4,109475299.0,95307047.0,87501.3,12706.9,46.49783114,6.881380253,3.175324753,4.003544569,10.33525138,50.71707766
2010-02-01,127.49,74.31,94.19,6.8285,6150.9,5035.7,2695.9,45.2,94522714.0,86910333.0,87501.3,12706.9,46.49783114,6.881380253,3.175324753,4.003544569,10.33525138,50.71707766
2010-03-01,139.69,79.27,94.38,6.8262,7972.4,5496.8,3369.5,42.8,112111793.0,119348092.0,87501.3,12706.9,46.49783114,6.881380253,3.175324753,4.003544569,10.33525138,50.71707766
2010-04-01,172.47,84.98,100.15,6.8256,8807.4,5540.3,3316.4,39.4,119920666.0,118239462.0,99347.4,34193.4,46.49783114,6.881380253,3.175324753,4.003544569,10.33525138,50.71707766
